Model;GEM2000Plus;Serial No;GM10283
Date downloaded;13/11/2019 07:27:08;Software Version;1.10.4
Computer & User Info;BRA000178;smoncerrat
Date of last user calibration;26/10/2019
Date of last factory calibration;14/5/2015
Next service due;17/11/2015
Date of last Gas Check;14/5/2015
Security code;[61D01C19]

ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;CO;H2S;H2;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;ppm;ppm;ppm;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;m
"M2S11P11";12/11/2019 14:26:14;57,2;36,6;1,7;4,5;">>>>";1001;0;3;"LOW";-32,7;32,198;0;0;0;-45,6;">>>>";0;0;0;"POZO ABIERTO";;1,56;0,0;;
"M2MGSE11";12/11/2019 14:29:28;60,3;38,9;0,6;0,2;">>>>";1001;0;10;"LOW";-118;">>>>";0;0;0;-126,6;">>>>";0;0;0;"POZO ABIERTO";;1,55;0,0;;
"M2MGSE09";12/11/2019 14:39:25;58,5;40,8;0,6;0,1;">>>>";1001;0;14;"LOW";-129,9;">>>>";0;0;0;-136,4;">>>>";0;0;0;"POZO ABIERTO";;1,43;0,0;;
"M2S09P01";12/11/2019 14:40:39;7,7;3,6;12,2;76,5;">>>>";1001;0;9;"LOW";-99,1;">>>>";0;0;0;-113,8;">>>>";0;0;0;"POZO CERRADO";;2,14;30,38;;
"M2S09P22";12/11/2019 14:41:39;57,9;41,6;0,4;0,1;">>>>";1001;0;1;"LOW";-125;">>>>";0;0;0;-133,9;">>>>";0;0;0;"POZO ABIERTO";;1,39;0,0;;
"M2S09P02";12/11/2019 14:42:23;58,1;41,7;0;0,2;">>>>";1001;0;4;"LOW";-128,9;">>>>";0;0;0;-135,7;">>>>";0;0;0;"POZO ABIERTO";;1,39;0,2;;
"M2S09P03";12/11/2019 14:43:37;57,6;42,2;0;0,2;">>>>";1001;0;30;"LOW";-2,7;4,254;0;0;0;-16,3;0,215;0;0;0;"POZO ABIERTO";;1,36;0,2;;
"M2S09P07";12/11/2019 14:44:47;58,6;38,1;1,4;1,9;">>>>";1001;0;43;"LOW";-19,9;20,35;0;0;0;-35,3;20,355;0;0;0;"POZO ABIERTO";;1,54;0,0;;
"M2S09P09";12/11/2019 14:45:39;59,2;40,1;0,5;0,2;">>>>";1001;0;16;"LOW";-120,7;">>>>";0;0;0;-133,2;">>>>";0;0;0;"POZO ABIERTO";;1,48;0,0;;
"M2S09P06";12/11/2019 14:47:58;56,7;43;0,1;0,2;">>>>";1001;0;5;"LOW";1,6;-1,155;0;0;0;1,7;-1,447;0;0;0;"POZO ABIERTO";;1,32;0,0;;
"M2S09P13";12/11/2019 14:48:38;56,9;43;0;0,1;">>>>";1001;0;6;"LOW";-125,1;">>>>";0;0;0;-134,9;">>>>";0;0;0;"POZO ABIERTO";;1,32;0,1;;
"M2S09P14";12/11/2019 14:50:06;41,2;28,3;5,3;25,2;">>>>";1001;0;2;"LOW";0,9;-0,946;0;0;0;-24,2;0,073;0;0;0;"POZO ABIERTO";;1,46;5,17;;
"M2S09P17";12/11/2019 14:53:41;57,8;38,9;1,4;1,9;">>>>";1001;0;11;"LOW";-103,7;">>>>";0;0;0;-113,9;">>>>";0;0;0;"POZO ABIERTO";;1,49;0,0;;
"M2S09P12";12/11/2019 14:56:05;56,9;43;0;0,1;">>>>";1000;0;10;"LOW";-0,5;0,798;0;0;0;-0,5;0,891;0;0;0;"POZO ABIERTO";;1,32;0,1;;
"M2FLHL01";12/11/2019 15:10:15;58;41,7;0,2;0,1;">>>>";1001;0;4;"LOW";-0,8;">>>>";0;3276,5;"N/A";0,1;">>>>";0;3276,5;"N/A";;;1,39;0,0;;
"M2FLHL01";12/11/2019 15:10:21;58;41,7;0,2;0,1;">>>>";1001;0;4;"LOW";2,5;">>>>";0;3276,5;"N/A";0,1;">>>>";0;3276,5;"N/A";;;1,39;0,0;;
"M2FLHL01";12/11/2019 15:10:32;58;41,7;0,2;0,1;">>>>";1001;0;4;"LOW";-1,7;">>>>";0;3276,5;"N/A";0,1;">>>>";0;3276,5;"N/A";;;1,39;0,0;;
"M2FLHL01";12/11/2019 15:10:37;58;41,7;0,2;0,1;">>>>";1001;0;4;"LOW";0,8;">>>>";0;3276,5;"N/A";0,1;">>>>";0;3276,5;"N/A";;;1,39;0,0;;
"M2FLHL01";12/11/2019 15:10:41;58;41,7;0,2;0,1;">>>>";1001;0;4;"LOW";1,4;">>>>";0;3276,5;"N/A";0,1;">>>>";0;3276,5;"N/A";;;1,39;0,0;;
